	Descricao
441	CHAVE COMBINADA 18 MM FERTAK
442	REGUA P/ PEDREIRO 2M ZMA BI TUBULAR COME
443	CHAVE COMBINADA 19 MM FERTAK
444	CHAVE COMBINADA 20 MM FERTAK
445	CHAVE COMBINADA 21 MM FERTAK
446	CHAVE COMBINADA 22 MM FERTAK
447	CHAVE DE GRIFO - STILLSON - 08
448	CHAVE DE GRIFO - STILLSON - 10 FERTAK
449	CHAVE CANO STILLSON 12 30CM FLEX LOTUS
450	CHAVE DE GRIFO STILLSON 18 46CM 12/1
451	CHAVE FIXA 10 X 11
452	CHAVE FIXA 12 X 13
453	CHAVE FIXA 14 X 15
454	CHAVE INGLESA 06
455	CHAVE INGLESA CABO EMB TPR 8" LOTUS
456	CHAVE INGLESA 10 FERTAK
457	CHAVE INGLESA 12
458	CHAVE L COM FURO 8X8 FERTAK
459	CHAVE L COM FURO 9X9
460	CHAVE L COM FURO 10X10
461	CHAVE L COM FURO 11 X11 FERTAK
462	CHAVE L COM FURO 12X12 FERTAK
463	CHAVE L COM FURO 13X13 FERTAK
464	CHAVE L COM FURO 14X14 FERTK
465	CHAVE L COM FURO 15 X 15 - FERTAK
466	CHAVE L LONGA GALVANIZADA 08MM FERTAK
467	CHAVE L LONGA GALVANIZADA 09 MM
468	CHAVE L LONGA GALVANIZADA 10MM FERTAK
469	CHAVE L LONGA GALVANIZADA 11 MM
